Cancer Type,Gender,Survival (%)
Liver,Female,62.2
Liver,Female,51.9
Liver,Female,57.2
Liver,Female,41.4
Liver,Female,52.3
Liver,Female,30.4
Liver,Female,66.7
Liver,Female,59.1
Liver,Female,41.2
Liver,Female,41.7
Liver,Female,24.2
Liver,Female,27.7
Liver,Female,41.5
Liver,Female,36.6
Liver,Female,26.2
Liver,Female,20.1
Liver,Female,10.9
Liver,Female,8.8
Liver,Female,7.7
Liver,Female,4.4
Liver,Male,81.5
Liver,Male,83.6
Liver,Male,70.3
Liver,Male,67.5
Liver,Male,58.9
Liver,Male,58.4
Liver,Male,53.4
Liver,Male,51.5
Liver,Male,48.8
Liver,Male,45.4
Liver,Male,83.4
Liver,Male,74.2
Liver,Male,76.1
Liver,Male,75.7
Liver,Male,78.7
Liver,Male,62
Liver,Male,59.1
Liver,Male,57.2
Liver,Male,73.6
Liver,Male,53.8
Liver,Male,46.8
Liver,Male,48
Liver,Male,65.9
Liver,Male,46.5
Liver,Male,40.2
Liver,Male,38.3
Liver,Male,38.6
Liver,Male,34
Liver,Male,47.4
Liver,Male,37.5
Liver,Male,48.8
Liver,Male,42.1
Liver,Male,30.7
Liver,Male,23.3
Liver,Male,21.6
Liver,Male,14.1
Liver,Male,18.3
Liver,Male,10
Liver,Male,14.1
Liver,Male,28
Liver,Male,26.1
Liver,Male,21.8
Liver,Male,18.4
Liver,Male,22
Liver,Male,11.9
Liver,Male,9.4
Liver,Male,7.2
Liver,Male,5.2
Liver,Male,4.2
Liver,Male,3.3
Lung,Female,98.1
Lung,Female,96.9
Lung,Female,94.6
Lung,Female,93
Lung,Female,88.3
Lung,Female,84.3
Lung,Female,82.3
Lung,Female,77.6
Lung,Female,78.1
Lung,Female,71.8
Lung,Female,75.4
Lung,Female,67.8
Lung,Female,93.9
Lung,Female,90.4
Lung,Female,87
Lung,Female,79.3
Lung,Female,89.8
Lung,Female,79.1
Lung,Female,72.5
Lung,Female,64.4
Lung,Female,87.1
